rom3501; 17.01.2013; Stellen; Wissenschaftliche Stelle; Wiss. Mitarbeiter/in (Koordination und wiss. Weiterentwicklung d. Teaching Centre) im Gießener Graduiertenzentrum Kulturwissenschaften (GGK); Sprachenübergreifend; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom0077; 02.01.2013; Stellen; Wissenschaftliche Stelle; 12 Stellen für Doktoranden/Doktorandinnen im Graduiertenkolleg „Ambiguität: Produktion und Rezeption“; Französisch Italienisch Portugiesisch Spanisch; Sprachwissenschaft; 
rom3509; 04.02.2011; Stellen; Wissenschaftliche Stelle; Wiss. Mitarbeiter/in mit fast ausschließlicher Lehrtätigkeit im Bereich der Fremdsprachenausbildung Spanisch  (EG 13 TV-G-U halbtags); Spanisch; Sprachpraxis; 
rom3645; 09.04.2009; Stellen; Wissenschaftliche Stelle; Wissenschaftliche/r Mitarbeiter/in Kulturwissenschaft; Sprachenübergreifend; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom2443; 01.02.2013; Tagungen; Tagungsprogramm; Mazzini e la letteratura europea; Französisch Italienisch; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom0559; 20.12.2013; Stellen; Stipendium; Bis zu 13 Promotionsstipendien International Graduate Centre for the Study of Culture (GCSC); Französisch Italienisch Portugiesisch Spanisch Sprachenübergreifend; Medien-/Kulturwissenschaft; 
rom0151; 26.06.2012; Stellen; Wissenschaftliche Stelle; 2 UniversitätsassistentIn - Dissertationsstellen und 3 Doktoratsstipendien DoktorandInnen-Kolleg „Figuration ‚Gegenkultur‘“:; Sprachenübergreifend; Literaturwissenschaft Medien-/Kulturwissenschaft Weitere Teilbereiche; 
rom3208; 14.08.2013; Stellen; Professur; Universitätsprofessur (W 3) für Allgemeine und Vergleichende Literaturwissenschaft (Peter-Szondi-Institut für Allgemeine und Vergleichende Literaturwissenschaft); Sprachenübergreifend; Literaturwissenschaft; 
rom0488; 17.06.2010; Stellen; Stipendium; Ausschreibung 2011/2012: European Institutes for Advanced Study (EURIAS) fellowship Programme for humanities and social sciences; Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft Weitere Teilbereiche; 
rom0859; 07.12.2008; Tagungen; Tagungsausschreibung; CfP: Graduiertentagung des Nachwuchsforums der Gesellschaft für Kanada-Studien; Französisch Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft; 
rom0391; 06.04.2008; Tagungen; Tagungsprogramm; Antisemitismus im Blick: Frankreich und Deutschland (Forum France et Monde Francophone); Französisch; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom2803; 14.03.2011; Stellen; Stipendium; Promovenden-Kurzstipendium Europäische Studien; Französisch Italienisch Portugiesisch Spanisch Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft; 
rom3435; 25.03.2008; Stellen; Professur; W3-Professur Romanische Philologie / Sprachwissenschaft; Französisch Spanisch; Sprachwissenschaft; 
rom1032; 20.01.2010; Tagungen; Tagungsausschreibung; CfP: Oralité(s) et écriture(s) : approches linguistiques et didactiques; Französisch Sprachenübergreifend; Sprachwissenschaft Didaktik; 
rom1422; 17.02.2011; Tagungen; Sonstige Veranstaltung; Int. Sommerakademie: Die 'Erste Kulturwissenschaft' und ihr Potential für die Gegenwart Zentrum für Literatur und Kulturforschung (ZfL) Berlin; Französisch Portugiesisch Spanisch Weitere romanische Sprachen Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft; 
rom0975; 26.05.2011; Tagungen; Tagungsausschreibung; CfP: Les tendances actuelles de la création calligrammatique autour de l’œuvre de Bruno Niver; Französisch Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft Weitere Teilbereiche; 
rom2763; 16.04.2013; Stellen; Professur; Professur (W3) Romanische Sprachwissenschaft; Französisch Spanisch; Sprachwissenschaft; 
rom3444; 07.02.2008; Tagungen; Tagungsprogramm; Watteau et la fête galante : l’actualité de la recherche  ; Französisch; Medien-/Kulturwissenschaft; 
rom0768; 26.04.2012; Tagungen; Tagungsausschreibung; CfP: Cortesia e (re)invenções; Sprachenübergreifend; Sprachwissenschaft Medien-/Kulturwissenschaft; 
rom1940; 03.07.2009; Weitere Informationen; Studium; Kompaktseminar: Antike Legenden und das 19. Jahrhundert. Flaubert und die Epistemologien des Wissens; Französisch; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom3388; 12.09.2013; Stellen; Professur; W2-Universitätsprofessur für Spanische Sprachwissenschaft (Hispanistik); Spanisch; Sprachwissenschaft Didaktik; 
rom0677; 17.10.2012; Weitere Informationen; Forum Junge Romanistik; CfP: 29. Forum Junge Romanistik zum Thema 'Corpus'; Französisch Italienisch Portugiesisch Spanisch Weitere romanische Sprachen; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft Didaktik; 
rom3656; 14.04.2011; Stellen; Wissenschaftliche Stelle; Wissenschaftliche/r Mitarbeiter/in: Rhetorik und kulturelle Semantik des Schädel-Wissens in der Medizin; Sprachenübergreifend; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom1268; 23.07.2011; Tagungen; Tagungsausschreibung; CfP: XIV. Congreso de la Asociación Latinoamericana de Estudios Germanísticos (ALEG); Portugiesisch Spanisch; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft Sprachpraxis Didaktik; 
rom1711; 11.11.2010; Weitere Informationen; Allgemeine Mitteilung; Giornata interdisciplinare delle Scienze - Interdisziplinärer Tag der Wissenschaften; Italienisch Sprachenübergreifend; ; 
rom0901; 08.12.2008; Tagungen; Tagungsausschreibung; CfP: Interdisziplinäre Perspektiven auf Ambiguität Internationales Symposium; Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft; 
rom1332; 29.04.2011; Tagungen; Tagungsprogramm; Hybridations. Texte et Image; Sprachenübergreifend; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom2740; 01.08.2013; Stellen; Professur; Professur (W 3) für Romanische Philologie (Sprachwissenschaft); Französisch Portugiesisch Spanisch; Sprachwissenschaft; 
rom3182; 01.12.2011; Stellen; Professur; Universitätsprofessor/in (W3) für Romanische Sprachwissenschaft; Französisch Italienisch Spanisch; Sprachwissenschaft; 
rom2873; 05.03.2012; Weitere Informationen; Allgemeine Mitteilung; Romerotage 2012: Hommage an den Dichter und Revolutionär Otto René Castillo; Spanisch; Medien-/Kulturwissenschaft; 
rom2000; 04.10.2012; Weitere Informationen; Allgemeine Mitteilung; Le Printemps des Poètes en danger !; Französisch; Literaturwissenschaft; 
rom1670; 19.05.2010; Stellen; Stipendium; Fritz Thyssen Stiftung – Stipendien für Nachwuchswissenschaftler/innen; Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft; 
rom0499; 07.03.2013; Weitere Informationen; Allgemeine Mitteilung; Ausschreibung: DFG-Villa Vigoni-Gespräche 2014 in den Geistes- und Sozialwissenschaften; Italienisch Sprachenübergreifend; Literaturwissenschaft Medien-/Kulturwissenschaft Weitere Teilbereiche; 
rom0105; 10.12.2008; Tagungen; Tagungsprogramm; 2. Bremer Symposion Autonomie und Motivation im Fremdsprachenlernen; Sprachenübergreifend; Sprachpraxis Didaktik; 
rom2032; 08.11.2012; Stellen; Wissenschaftliche Stelle; Lecturer in French Studies; Französisch; Sprachwissenschaft; 
rom2703; 07.04.2011; Stellen; Professur; Professur für allgemeine Geschichte des Spätmittelalters und der italienischen Renaissance; Italienisch; Medien-/Kulturwissenschaft; 
rom1580; 01.05.2011; Stellen; Stipendium; Fellowships Interdisciplinary humanities and culture studies IFK; Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft Weitere Teilbereiche; 
rom0350; 16.07.2011; Stellen; Wissenschaftliche Stelle; Akademische/r Mitarbeiterin/Mitarbeiter 50% (Übersetzungswissenschaft Französisch); Französisch; Sprachpraxis; 
rom2472; 28.03.2013; Tagungen; Tagungsprogramm; Nach Graciáns Künsten - Workshop; Spanisch; Literaturwissenschaft; 
rom0933; 11.07.2013; Tagungen; Tagungsausschreibung; CfP: Kulturkontakte und kulturelle Identität 1. Münchner Interdisziplinäre Tagung für Promotionsstudierende; Französisch Portugiesisch Spanisch Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft Didaktik Weitere Teilbereiche; 
rom3143; 12.01.2012; Tagungen; Tagungsprogramm; Übersetzen bewusst machen; Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Weitere Teilbereiche; 
rom1873; 20.01.2014; Tagungen; Tagungsprogramm; Journée d'études Les bifurcations du récit interactif : Continuité ou rupture ?; Französisch Sprachenübergreifend; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom0601; 14.02.2013; Stellen; Professur; Carnegie Chair in French; Französisch; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom2222; 04.03.2009; Stellen; Wissenschaftliche Stelle; Lehrkraft für besondere Aufgaben (Romanische Sprachwissenschaft Französisch und Spanisch); Französisch Spanisch; Sprachwissenschaft; 
rom3458; 24.09.2010; Stellen; Wissenschaftliche Stelle; Wisenschaftlicher Mitarbeiter / Wissenschaftliche Mitarbeiterin; Französisch; Sprachpraxis; 
rom0083; 27.10.2011; Stellen; Stipendium; 13 Stipendien für Doktoranden/-innen 1 Stelle als Postdoktorand/in 1 Stelle als Koordinator/in: Graduiertenkolleg Präsenz und implizites Wissen; Sprachenübergreifend; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom1919; 09.08.2012; Stellen; Professur; Juniorprofessur (W1) in der Forschergruppe Transformations of Knowledge; Sprachenübergreifend; Medien-/Kulturwissenschaft Weitere Teilbereiche; 
rom3771; 10.05.2011; Weitere Informationen; Allgemeine Mitteilung; Zum Tode von Professor Dr. Herbert Christ (1929-2011); Französisch Italienisch Portugiesisch Spanisch Weitere romanische Sprachen; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft Sprachpraxis Didaktik; 
rom2417; 28.01.2009; Weitere Informationen; Studium; Master InterAmerikanische Studien; Französisch Portugiesisch Spanisch Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft; 
rom1033; 02.11.2010; Tagungen; Tagungsausschreibung; CfP: Ordo - 8e symposium annuel de la Société Internationale des Médiévistes; Französisch; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft Weitere Teilbereiche; 
rom3367; 27.03.2009; Stellen; Professur; W2-Professur für Romanische Philologie / Iberoromanische Sprachwissenschaft; Portugiesisch Spanisch; Sprachwissenschaft; 
rom0516; 03.05.2010; Weitere Informationen; Studium; Ausschreibung von neun Studienplätzen im doppelten Master Dresden - Trento; Italienisch Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft; 
rom3325; 31.01.2008; Stellen; Professur; W 3- Professur für Romanische Philologie (Lateinamerikanische Literatur); Portugiesisch Spanisch; Literaturwissenschaft; 
rom2674; 30.09.2010; Stellen; Wissenschaftliche Stelle; Principal Lecturer/ Senior Lecturer/Lecturer in French; Französisch; Sprachwissenschaft Sprachpraxis; 
rom3101; 07.06.2012; Stellen; Professur; Tenure-Track Position in pre-1900 European Literature (Dutch English French German Greek Italian Latin Portuguese Spanish or Scandinavian); Französisch Italienisch Portugiesisch Spanisch Weitere romanische Sprachen; Literaturwissenschaft; 
rom0455; 04.08.2011; Stellen; Nichtwissenschaftliche Stelle; Associate Teaching Fellow in French; Französisch; Sprachpraxis; 
rom1712; 30.06.2011; Tagungen; Tagungsprogramm; Giornata Italiana. 150 Jahre Italien; Italienisch; Literaturwissenschaft Medien-/Kulturwissenschaft Weitere Teilbereiche; 
rom2913; 05.08.2010; Stellen; Wissenschaftliche Stelle; Senior Lecturer / Lecturer in French (Francophone Literature and Culture Film and Visual Culture and Early Modern or Enlightenment); Französisch; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom2284; 20.03.2008; Stellen; Wissenschaftliche Stelle; Leitung des Fremdsprachenzentrums; Sprachenübergreifend; Sprachwissenschaft Sprachpraxis Didaktik; 
rom1433; 08.11.2013; Tagungen; Tagungsprogramm; Die Tradition der Widmung in der Neulateinischen Welt / The Tradition of Dedication in the Neo-Latin World; Italienisch Sprachenübergreifend; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom3659; 20.02.2013; Stellen; Wissenschaftliche Stelle; Wissenschaftliche/r Mitarbeiter/in romanische Sprachwissenschaft; Italienisch Weitere romanische Sprachen; Sprachwissenschaft; 
rom0475; 23.12.2008; Tagungen; Tagungsausschreibung; Aufruf zur Mitarbeit an Sektion 5.3 des Romanistentags 2009: Authentizität im Unterricht romanischer Sprachen; Französisch Italienisch Portugiesisch Spanisch Weitere romanische Sprachen; Didaktik; 
rom3173; 11.12.2012; Stellen; Wissenschaftliche Stelle; UniversitätsassistentIn Vergleichende Literaturwissenschaft - Dissertationsstelle; Sprachenübergreifend; Literaturwissenschaft; 
rom0840; 14.12.2011; Tagungen; Tagungsausschreibung; CfP: Francis Jammes et l'Allemagne; Französisch; Literaturwissenschaft; 
rom3043; 31.07.2012; Weitere Informationen; Allgemeine Mitteilung; Szenische Lesung: Roberto Bolaño in Deutschland - Lumpenroman; Spanisch; Literaturwissenschaft; 
rom3594; 03.03.2011; Stellen; Wissenschaftliche Stelle; Wissenschaftliche/r Mitarbeiter/in; Sprachenübergreifend; Medien-/Kulturwissenschaft Weitere Teilbereiche; 
rom0697; 24.12.2013; Tagungen; Tagungsausschreibung; CfP: Acontecimientos históricos y su productividad cultural en el mundo hispánico; Spanisch; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom3548; 12.08.2013; Stellen; Wissenschaftliche Stelle; Wiss. Mitarbeiterin/Mitarbeiter; Französisch Italienisch; Literaturwissenschaft; 
rom1767; 17.10.2013; Tagungen; Tagungsprogramm; II Jornadas Pedagógicas de Português Folkuniversitetet Göteborg; Portugiesisch; Sprachpraxis Didaktik; 
rom0605; 30.04.2013; Stellen; Stipendium; CEnT-Forschungsstipendium; Sprachenübergreifend; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom0756; 17.11.2011; Tagungen; Tagungsausschreibung; CfP: Congreso anual 2012: Espacios de género ADLAF - Asociación Alemana de Investigación sobre América Latina ; Portugiesisch Spanisch; Medien-/Kulturwissenschaft Weitere Teilbereiche; 
rom2727; 15.03.2012; Stellen; Professur; Professur für Translationswissenschaft; Sprachenübergreifend; Sprachwissenschaft; 
rom1644; 07.05.2012; Tagungen; Sonstige Veranstaltung; Französische Sommeruniversität 2012: L'Écologie en France - Enjeux et défis; Französisch; Literaturwissenschaft Medien-/Kulturwissenschaft Sprachpraxis; 
rom3119; 11.11.2010; Tagungen; Tagungsprogramm; Tradurre è - anche - scommettere. Oder die Übersetzung als Negoziazione; Italienisch; Literaturwissenschaft Sprachwissenschaft; 
rom1507; 28.01.2014; Stellen; Wissenschaftliche Stelle; Eine Postdoc Stelle im GRK 1767 Faktuales und fiktionales Erzählen; Sprachenübergreifend; Literaturwissenschaft; 
rom1251; 20.02.2014; Tagungen; Tagungsausschreibung; CfP: Wenn Bilder Texte bewegen: Interdisziplinäre Perspektiven auf Visualität Interdisziplinäre DRV-Sommerschule; Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft; 
rom0711; 20.12.2011; Tagungen; Tagungsausschreibung; CfP: Association for French Language Studies Conference 2012; Französisch; Sprachwissenschaft; 
rom2946; 12.12.2013; Stellen; Wissenschaftliche Stelle; Spanisch-Lektorat (10 Stelle); Spanisch; Sprachpraxis; 
rom2749; 21.10.2013; Stellen; Professur; Professur (W2) Romanische Sprachen mit den Schwerpunkten Wirtschaftsspanisch und Wirtschaftsportugiesisch; Portugiesisch Spanisch; Sprachwissenschaft Didaktik; 
rom2657; 10.04.2008; Weitere Informationen; Allgemeine Mitteilung; Preis der Kurt-Ringger-Stiftung zur Förderung des romanistischen Nachwuchses; Französisch Italienisch Portugiesisch Spanisch Weitere romanische Sprachen; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft; 
rom0059; 12.11.2009; Tagungen; Sonstige Veranstaltung; 11. Deutsch-Französisches Forum in Straßburg; Französisch; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft Sprachpraxis Didaktik; 
rom1212; 05.10.2012; Tagungen; Tagungsausschreibung; CfP: Transformations of History; Sprachenübergreifend; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom1493; 05.09.2010; Stellen; Professur; Drapers Professorship of French; Französisch; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft; 
rom3731; 04.05.2009; Weitere Informationen; Allgemeine Mitteilung; Zs.: Iberoamericana IX (2009) Nr. 33 März 2009 Dossier: Migrantes de origen alemán en Argentina; Portugiesisch Spanisch; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom1203; 02.10.2013; Tagungen; Tagungsausschreibung; CfP: The Reception of German Art Art Theory and Philosophy by the Americas in the 20th Century; Portugiesisch Spanisch Sprachenübergreifend; Literaturwissenschaft Medien-/Kulturwissenschaft Weitere Teilbereiche; 
rom2095; 29.03.2012; Stellen; Wissenschaftliche Stelle; Lectureship (Teaching) in Interpreting (Spanish); Spanisch; Sprachwissenschaft; 
rom3411; 19.08.2010; Stellen; Professur; W3-Professur für Romanische Philologie mit dem Schwerpunkt Französische Literaturwissenschaft; Französisch Spanisch; Literaturwissenschaft; 
rom3291; 25.01.2009; Weitere Informationen; Allgemeine Mitteilung; Von der Normalisierung zur Entfremdung? Aufruf zum Deutsch-Französischen Verhältnis; Französisch; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft Sprachpraxis Didaktik; 
rom0765; 05.12.2012; Tagungen; Tagungsausschreibung; CfP: Corpus. 29. Forum Junge Romanistik (Erlangen); Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft; 
rom0985; 02.02.2014; Tagungen; Tagungsausschreibung; CfP: LIMES X 2014; Sprachenübergreifend; Sprachwissenschaft; 
rom1977; 09.07.2011; Tagungen; Tagungsprogramm; La representación del espacio en la literatura española del Siglo de Oro; Spanisch; Literaturwissenschaft; 
rom0139; 10.07.2013; Stellen; Stipendium; 2 Promotionsstipendien des Graduiertenkollegs Kulturkontakt und Wissenschaftsdiskurs; Französisch Italienisch Spanisch; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom1375; 17.06.2013; Tagungen; Tagungsprogramm; Das Wissen der Poesie. Lyrische und epische Versdichtung und die Wissenschaften im 19. Jahrhundert; Französisch; Literaturwissenschaft; 
rom3570; 05.11.2010; Stellen; Wissenschaftliche Stelle; Drei Wiss. Mitarbeiter/innen (65%): Erforschung altfranzösischer Fabliaux-Handschriften; Französisch; Literaturwissenschaft Weitere Teilbereiche; 
rom2648; 18.03.2013; Stellen; Poste de post-doctorant 2013/2014; Sprachenübergreifend; Sprachwissenschaft; 
rom3176; 29.09.2011; Stellen; Wissenschaftliche Stelle; Universitätsassistent/Universitätsassistentin Neue Medien - Technik - Kultur (Klagenfurt); Sprachenübergreifend; Medien-/Kulturwissenschaft; 
rom1413; 16.07.2013; Tagungen; Tagungsprogramm; Día Hispánico 2013 - Acercamiento a los problemas de la España de hoy; Spanisch; Medien-/Kulturwissenschaft Weitere Teilbereiche; 
rom2298; 08.07.2013; Stellen; Wissenschaftliche Stelle; Lektorat Wirtschaftsfranzösisch; Französisch; Sprachpraxis; 
rom0831; 13.10.2008; Tagungen; Tagungsausschreibung; CfP: Fiktum versus Faktum? Die Mathematik in Literatur und Film des 20. und 21. Jahrhunderts; Sprachenübergreifend; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom2833; 18.09.2012; Tagungen; Tagungsprogramm; Rencontres de l'abbaye de Fontevraud; Französisch Sprachenübergreifend; Literaturwissenschaft; 
